language,fraction,subset_tokens,method,precision,recall,f1,vecmap_coverage
zul,1.0,1492100,CCA,0.0049,0.0057,0.0053,1.0
zul,1.0,1492100,KCCA,0.0,0.0,0.0,1.0
zul,1.0,1492100,VecMap,0.0385,0.0021,0.004,0.2247
zul,0.75,1119082,CCA,0.0014,0.0021,0.0016,1.0
zul,0.75,1119082,KCCA,0.0333,0.0099,0.0153,1.0
zul,0.75,1119082,VecMap,0.0361,0.0052,0.0091,0.2125
zul,0.5,746050,CCA,0.0015,0.0021,0.0017,1.0
zul,0.5,746050,KCCA,0.0088,0.0026,0.004,1.0
zul,0.5,746050,VecMap,0.0,0.0,0.0,0.1942
zul,0.25,373038,CCA,0.0048,0.0031,0.0038,1.0
zul,0.25,373038,KCCA,0.0,0.0,0.0,1.0
zul,0.25,373038,VecMap,0.0062,0.001,0.0018,0.1624
zul,0.1,149216,CCA,0.0,0.0,0.0,1.0
zul,0.1,149216,KCCA,0.0007,0.0005,0.0006,1.0
zul,0.1,149216,VecMap,0.0022,0.0005,0.0008,0.1181
zul,0.05,74639,CCA,0.0,0.0,0.0,1.0
zul,0.05,74639,KCCA,0.001,0.0005,0.0007,1.0
zul,0.05,74639,VecMap,0.0,0.0,0.0,0.0889
nso,1.0,2177442,CCA,0.0054,0.0077,0.0063,1.0
nso,1.0,2177442,KCCA,0.0,0.0,0.0,1.0
nso,1.0,2177442,VecMap,0.0,0.0,0.0,0.1613
nso,0.75,1633107,CCA,0.0025,0.0039,0.003,1.0
nso,0.75,1633107,KCCA,0.0,0.0,0.0,1.0
nso,0.75,1633107,VecMap,0.225,0.005,0.0097,0.156
nso,0.5,1088730,CCA,0.0037,0.0072,0.0049,1.0
nso,0.5,1088730,KCCA,0.0,0.0,0.0,1.0
nso,0.5,1088730,VecMap,0.0113,0.0017,0.0029,0.1475
nso,0.25,544362,CCA,0.0253,0.0121,0.0164,1.0
nso,0.25,544362,KCCA,0.0,0.0,0.0,1.0
nso,0.25,544362,VecMap,0.0032,0.0022,0.0026,0.1331
nso,0.1,217751,CCA,0.0,0.0,0.0,1.0
nso,0.1,217751,KCCA,0.0,0.0,0.0,1.0
nso,0.1,217751,VecMap,0.0,0.0,0.0,0.1106
nso,0.05,108936,CCA,0.0,0.0,0.0,1.0
nso,0.05,108936,KCCA,0.0,0.0,0.0,1.0
nso,0.05,108936,VecMap,0.037,0.0017,0.0032,0.0926
tsn,1.0,1262510,CCA,0.0043,0.0066,0.0052,1.0
tsn,1.0,1262510,KCCA,0.0007,0.0013,0.0009,1.0
tsn,1.0,1262510,VecMap,0.0,0.0,0.0,0.0973
tsn,0.75,947002,CCA,0.0018,0.0027,0.0022,1.0
tsn,0.75,947002,KCCA,0.0,0.0,0.0,1.0
tsn,0.75,947002,VecMap,0.0,0.0,0.0,0.0948
tsn,0.5,631281,CCA,0.009,0.0133,0.0108,1.0
tsn,0.5,631281,KCCA,0.0,0.0,0.0,1.0
tsn,0.5,631281,VecMap,0.0481,0.0033,0.0062,0.0899
tsn,0.25,315664,CCA,0.0,0.0,0.0,1.0
tsn,0.25,315664,KCCA,0.0051,0.0007,0.0012,1.0
tsn,0.25,315664,VecMap,0.0,0.0,0.0,0.0803
tsn,0.1,126314,CCA,0.0,0.0,0.0,1.0
tsn,0.1,126314,KCCA,0.0015,0.0007,0.0009,1.0
tsn,0.1,126314,VecMap,0.0,0.0,0.0,0.0656
tsn,0.05,63130,CCA,0.0,0.0,0.0,1.0
tsn,0.05,63130,KCCA,0.0,0.0,0.0,1.0
tsn,0.05,63130,VecMap,0.0,0.0,0.0,0.0538
